number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,4286261725607.592,2025-09-10 16:43:01.116139,2025-09-10 16:45:23.613357,0 days 00:02:22.497218,18,,2,5,200,COMPLETE
1,9.143203959279146e+18,2025-09-10 16:45:23.617891,2025-09-10 16:46:09.084872,0 days 00:00:45.466981,15,sqrt,3,3,450,COMPLETE
2,62474901211996.25,2025-09-10 16:46:09.086219,2025-09-10 16:50:42.878196,0 days 00:04:33.791977,14,,2,3,500,COMPLETE
3,1.0219171303310234e+19,2025-09-10 16:50:42.884004,2025-09-10 16:51:24.556826,0 days 00:00:41.672822,13,sqrt,5,3,250,COMPLETE
4,3703119379660.6973,2025-09-10 16:51:24.563960,2025-09-10 16:53:38.277772,0 days 00:02:13.713812,20,,2,9,200,COMPLETE
5,4406242558581.564,2025-09-10 16:53:38.279017,2025-09-10 16:57:15.408885,0 days 00:03:37.129868,22,,5,5,300,COMPLETE
6,1.1907029030165289e+19,2025-09-10 16:57:15.420982,2025-09-10 16:58:03.734649,0 days 00:00:48.313667,15,log2,3,8,550,COMPLETE
7,1.1719704663025631e+19,2025-09-10 16:58:03.735965,2025-09-10 16:58:36.391134,0 days 00:00:32.655169,14,log2,5,5,400,COMPLETE
8,2.1943942806048237e+17,2025-09-10 16:58:36.392685,2025-09-10 17:01:40.399946,0 days 00:03:04.007261,7,,5,4,400,COMPLETE
9,1.3516406365841586e+19,2025-09-10 17:01:40.401818,2025-09-10 17:02:11.795052,0 days 00:00:31.393234,21,log2,1,3,250,COMPLETE
10,2862696041547.457,2025-09-10 17:02:11.799353,2025-09-10 17:03:27.558775,0 days 00:01:15.759422,29,,1,10,100,COMPLETE
11,4381439803073.926,2025-09-10 17:03:27.559856,2025-09-10 17:04:44.910744,0 days 00:01:17.350888,29,,1,10,100,COMPLETE
12,4581478943019.228,2025-09-10 17:04:44.912132,2025-09-10 17:06:41.562021,0 days 00:01:56.649889,30,,2,10,150,COMPLETE
13,4948541054180.999,2025-09-10 17:06:41.563207,2025-09-10 17:08:21.801751,0 days 00:01:40.238544,24,,1,7,100,COMPLETE
14,3605689313117.7603,2025-09-10 17:08:21.803285,2025-09-10 17:10:54.037273,0 days 00:02:32.233988,26,,2,8,200,COMPLETE
15,1.2994195623070665e+19,2025-09-10 17:10:54.038412,2025-09-10 17:11:22.493796,0 days 00:00:28.455384,26,sqrt,3,8,100,COMPLETE
16,3475545186579.451,2025-09-10 17:11:22.495675,2025-09-10 17:14:52.626342,0 days 00:03:30.130667,27,,1,7,300,COMPLETE
17,3540498564274.7427,2025-09-10 17:14:52.627289,2025-09-10 17:21:56.187498,0 days 00:07:03.560209,27,,1,7,600,COMPLETE
18,1.026601955338248e+19,2025-09-10 17:21:56.279190,2025-09-10 17:22:55.508579,0 days 00:00:59.229389,30,sqrt,4,6,350,COMPLETE
19,1.2694694418601769e+19,2025-09-10 17:22:55.743532,2025-09-10 17:23:29.634451,0 days 00:00:33.890919,6,log2,4,9,300,COMPLETE
20,3608288064774.0083,2025-09-10 17:23:29.635485,2025-09-10 17:27:59.020693,0 days 00:04:29.385208,24,,1,9,350,COMPLETE
21,3657889386421.716,2025-09-10 17:27:59.052643,2025-09-10 17:36:18.417316,0 days 00:08:19.364673,27,,1,7,600,COMPLETE
22,3609206721943.1187,2025-09-10 17:36:18.472817,2025-09-10 17:43:16.361493,0 days 00:06:57.888676,28,,1,7,600,COMPLETE
23,3467345092385.361,2025-09-10 17:43:16.434344,2025-09-10 17:49:17.482308,0 days 00:06:01.047964,24,,1,6,500,COMPLETE
24,3833164241900.8647,2025-09-10 17:49:17.525552,2025-09-10 17:54:26.213813,0 days 00:05:08.688261,25,,2,6,500,COMPLETE
25,4213122080142.603,2025-09-10 17:54:26.217955,2025-09-10 17:58:54.765626,0 days 00:04:28.547671,23,,1,6,450,COMPLETE
26,4355715226285.4766,2025-09-10 17:58:54.773238,2025-09-10 18:00:55.279954,0 days 00:02:00.506716,19,,2,2,150,COMPLETE
27,4067786200149.9795,2025-09-10 18:00:55.287776,2025-09-10 18:04:57.718752,0 days 00:04:02.430976,28,,1,10,400,COMPLETE
28,1.241067747967664e+19,2025-09-10 18:04:57.731219,2025-09-10 18:05:23.447822,0 days 00:00:25.716603,22,log2,4,4,300,COMPLETE
29,1.028919300531896e+19,2025-09-10 18:05:23.490124,2025-09-10 18:06:06.011619,0 days 00:00:42.521495,17,sqrt,2,5,500,COMPLETE
